[10, 0.5]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.00032425634207207713, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.0001]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.001]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.002]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.003]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.004]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.005]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.006]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.007]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.009]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.01]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.011]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.012]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
[5, 0.013]:{'first_acc': 0.0, 'end_acc': 0.5234657039711191, 'expected_wins': 0.17294777323387747, 'expected_wins_optimal': 0.6224577465175445}
